algorithm,map,Runtime ms,Route Size,Expanded Nodes,Memory
BFS, Muy Pequeño,1,15,96,97
BFS, Pequeño,"1,19",34,130,131
BFS, Mediano,"2,27",110,846,846
BFS, Grande,"16,67",209,4630,4633
,,,,,
DFS, Muy Pequeño,"2,02",27,71,71
DFS, Pequeño,"3,15",64,81,81
DFS, Mediano,"19,82",238,402,402
DFS, Grande,"22,4",935,1213,1213
,,,,,
AStar, Muy Pequeño,"1,35",15,40,57
AStar, Pequeño,"1,88",34,86,104
AStar, Mediano,4,110,717,735
AStar, Grande,"15,26",209,3607,3702
,,,,,
IDAStar, Muy Pequeño,"2,11",15,122,15
IDAStar, Pequeño,"3,44",34,423,34
IDAStar, Mediano,"257,06",110,484625,110
IDAStar, Grande,error,error,error,error
,,,,,
RTAStar, Muy Pequeño,"3,123",53,53,37
RTAStar, Pequeño,"2,199",38,38,36
RTAStar, Mediano,"32,58",1594,1594,544
RTAStar, Grande,"22,895",1567,1567,513
